Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,702,Singapore,SGP,01,Live animals,1,No Quantity,,,23254,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,702,Singapore,SGP,01,Live animals,1,No Quantity,,,432007,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,703,Slovakia,SVK,01,Live animals,1,No Quantity,,,1692883,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,704,Viet Nam,VNM,01,Live animals,1,No Quantity,,,10116,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,01,Live animals,1,No Quantity,,,48121,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,705,Slovenia,SVN,01,Live animals,1,No Quantity,,,16308,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,710,South Africa,ZAF,01,Live animals,1,No Quantity,,,28100,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,710,South Africa,ZAF,01,Live animals,1,No Quantity,,,4940556,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,716,Zimbabwe,ZWE,01,Live animals,1,No Quantity,,,684663,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,724,Spain,ESP,01,Live animals,1,No Quantity,,,51117,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,724,Spain,ESP,01,Live animals,1,No Quantity,,,9738803,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,729,Sudan,SDN,01,Live animals,1,No Quantity,,,481363,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,752,Sweden,SWE,01,Live animals,1,No Quantity,,,39495,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,752,Sweden,SWE,01,Live animals,1,No Quantity,,,4220445,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,757,Switzerland,CHE,01,Live animals,1,No Quantity,,,37747,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,757,Switzerland,CHE,01,Live animals,1,No Quantity,,,644160,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,760,Syria,SYR,01,Live animals,1,No Quantity,,,41178,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,764,Thailand,THA,01,Live animals,1,No Quantity,,,1094592,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,768,Togo,TGO,01,Live animals,1,No Quantity,,,2050,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,780,Trinidad and Tobago,TTO,01,Live animals,1,No Quantity,,,15218,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,784,United Arab Emirates,ARE,01,Live animals,1,No Quantity,,,15430001,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,01,Live animals,1,No Quantity,,,7036973,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,788,Tunisia,TUN,01,Live animals,1,No Quantity,,,258771,0
H4,2012,2012,2012,2,0,1,Import,826,United Kingdom,GBR,792,Turkey,TUR,01,Live animals,1,No Quantity,,,125360,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,01,Live animals,1,No Quantity,,,4430473,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,800,Uganda,UGA,01,Live animals,1,No Quantity,,,53305,0
H4,2012,2012,2012,2,0,2,Export,826,United Kingdom,GBR,804,Ukraine,UKR,01,Live animals,1,No Quantity,,,1519529,0
